,eMolecules SKU,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES
125,152543455,"[-1.888, 2.436, 3.887, 4.98, 15.409]","[3.887, 4.98]",2.0,False,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)N
126,166823229,[6.388],[6.388],1.0,False,c1cc(c(cc1Cl)Cl)c2ccc(s2)/C=C/3\C(=O)NC(=S)S3
127,165817663,"[3.892, 12.676, 16.25]",[3.892],1.0,False,c1cc2c(cc1Nc3c(cnc(n3)Nc4ccc5c(c4)OCO5)F)OCO2
128,177337664,"[3.613, 5.018, 7.969, 13.67, 14.647]","[3.613, 5.018, 7.969]",3.0,False,CC(C)(C)c1nc(c2n1ccnc2N)c3cccc(c3)N
129,103861574,"[1.152, 4.231, 11.29, 11.964, 13.663]",[4.231],1.0,False,COc1cc(cc(c1OC)OC)Nc2c3c([nH]cn3)nc(n2)N
130,108362056,"[-1.342, 8.43, 10.825]","[8.43, 10.825]",2.0,False,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)Cl
131,139358538,"[3.757, 12.63, 15.053]",[3.757],1.0,False,c1cc(oc1)CNC(=O)c2cc3c(cco3)c(n2)Nc4ccc(cc4)Cl
132,103846224,"[7.368, 15.255]",[7.368],1.0,False,c1ccc(cc1)CN2CCN(CC2)C(=O)c3ccc4cc[nH]c4c3
133,113035320,"[-1.605, 4.267, 13.106]",[4.267],1.0,False,COc1cc(cc(c1OC)OC)Nc2c3cc(c(cc3ncn2)OC)OC
134,165966167,"[7.792, 13.598]",[7.792],1.0,False,c1ccc2c(c1)c(ccn2)Nc3cccc(c3)Br
135,103505994,"[-1.158, 3.743, 5.355, 11.338, 14.989]","[3.743, 5.355]",2.0,False,c1ccc2c(c1)c(c(c(=O)[nH]2)c3[nH]c4ccccc4n3)O
136,166210911,"[6.235, 8.024]","[6.235, 8.024]",2.0,False,COc1cc(cc(c1O)I)/C=C/2\C(=O)NC(=O)S2
137,103780344,"[-2.35, 5.556, 10.973]","[5.556, 10.973]",2.0,False,Cn1c2c(c(=O)[nH]c1=O)n(c(n2)S)Cc3ccc(cc3)F
138,166211944,"[1.04, 4.082, 12.042]",[4.082],1.0,False,CC(C)n1c2ccccc2nc1c3c(non3)N
139,163660137,[3.425],[3.425],1.0,False,COc1cc(c(cc1OC)F)C(=O)O
140,158483823,"[-0.426, 2.712, 7.01, 8.581, 13.9]","[7.01, 8.581]",2.0,False,c1cc(ccc1NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccncc4)F
141,112297328,"[-1.137, 3.621]",[3.621],1.0,False,COc1ccc2c(cc(=O)oc2c1)CC(=O)O
142,166813042,"[0.122, 0.934, 9.839]",[9.839],1.0,False,Cc1cccc(c1)Cc2cnc(s2)NC(=O)c3cccs3
143,188941715,"[-2.982, -0.008, 3.373, 10.621, 13.903]","[3.373, 10.621]",2.0,False,c1ccc(cc1)c2ccc3c(c(sc3n2)C(=O)N)N
144,158829942,"[5.638, 14.182]",[5.638],1.0,False,c1ccc(cc1)CCNc2c3ccccc3ncn2
145,103722362,"[-2.75, 7.964, 16.625]",[7.964],1.0,False,Cc1ccc(cc1)S(=O)(=O)Nc2c(nc3ccccc3n2)Nc4cc(cc(c4)OC)OC
146,146608507,"[3.786, 13.543]",[3.786],1.0,False,c1ccc(cc1)CNc2c3ccsc3ncn2
147,103692668,"[-2.297, 2.537, 10.217]",[10.217],1.0,False,CCCCn1c(cn2c1nc3c2c(=O)[nH]c(=O)n3C)c4ccccc4
148,103751402,"[4.064, 13.926]",[4.064],1.0,False,c1nc(c2c3c(sc2n1)CCCCC3)N
149,103565695,"[-1.75, -1.015, 5.578, 13.511, 14.077]",[5.578],1.0,False,c1ccc2c(c1)c(nnc2Nc3ccc(c(c3)Cl)Cl)c4ccc(cc4)C(=O)N
150,139503851,"[-1.682, -0.459, 3.32, 14.277]",[3.32],1.0,False,CN(C)S(=O)(=O)N1CCN(CC1)C(=O)c2ccc(cc2)Nc3ncccn3
151,163816836,"[-0.128, 0.482, 2.188, 4.113, 11.2, 13.948]",[4.113],1.0,False,CC(C)(C)c1cc(n(n1)c2ccccc2)NC(=O)Nc3cccc(c3Cl)Cl
152,103584133,"[3.892, 12.676, 16.374]",[3.892],1.0,False,CCOc1ccc(cc1)Nc2c(cnc(n2)Nc3ccc(cc3)OCC)F
153,103864712,"[1.152, 4.231, 11.29, 11.964, 13.609]",[4.231],1.0,False,c1cc(cc(c1)Cl)Nc2c3c([nH]cn3)nc(n2)N
154,152528266,"[3.213, 5.772]","[3.213, 5.772]",2.0,False,c1ccc(cc1)n2cnc3c2ccc(c3)C(=O)O
155,166885771,"[5.564, 13.766]",[5.564],1.0,False,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)F
156,127455974,"[0.464, 3.747, 5.351, 13.247]","[3.747, 5.351]",2.0,False,Cc1nc(cs1)CNc2c3ccsc3ncn2
157,167025043,"[6.247, 7.999]","[6.247, 7.999]",2.0,False,CCOc1cc(cc(c1O)/C=C\2/C(=O)NC(=O)S2)Br
158,103630233,"[-2.71, 4.47, 9.421]","[4.47, 9.421]",2.0,False,CN1CCN(CC1)C2CCN(CC2)C(=O)c3cccc(c3)OC
159,177260954,"[-0.686, -0.636, 3.504, 7.811, 15.323]","[3.504, 7.811]",2.0,False,Cn1ccc2ccc(cc2c1=O)NCc3c(cccc3Cl)N4CCN(CC4)C
160,167044507,"[-1.75, -0.257, 1.667, 5.922, 9.239, 13.843]","[5.922, 9.239]",2.0,False,c1ccc(c(c1)c2nc(c(o2)N)C(=O)N)Cl
